TID (unique),KEYWORD(unique),TAG(Separate with comma),CATEGORY, PID(Separate with comma if more than one),QUESTION,ANSWER,Documentation link ,YouTube solution link,RSID
GLOGIQ919,ERASE_EXISTING_EXAM,"Exam,Delete",Exam,LOGIQ9,How to Delete the Existing Exam List?,"1. Search and select the patient in the patient list.
2. Press Review.
3. The patient exam screen is displayed. Select the exam 
which you want to delete.
4. The confirmation dialog box is displayed.
5. Press OK to delete or Cancel.",,,
GLOGIQ920,ERASE_EXISTING_IMAGE,"Image,Delete",Exam,LOGIQ9,How to Delete the Existing Image list?,"1. Search and select the patient in the patient list.
2. Press Review.
3. The patient exam screen is displayed. Select the exam 
which include the image to delete.
4. Press Active Images to display the image list.
5. Select the image to delete and press Delete.
6. The confirmation dialog box is displayed.
7. Press Yes to delete or No to cancel.",,,
GLOGIQ921,DEAPTH_B-MODE,Adjust,Optimizing the image,LOGIQ9,How to Adjust Depth?,"Each adjustment cycles you to the next Depth setting. Imaging 
and display parameters adjust automatically. 
To increase/decrease, adjust Depth.",,,
GLOGIQ922,GAIN_B-MODE,Adjust,Optimizing the image,LOGIQ9,How to Adjust Gain?,"Gain values vary depending on the probe; they are not 
associated with a particular position of the knob. 
NOTE: TruAccess allows you to change the gain on a frozen image. 
B-Mode gain is independent of M-Mode and Doppler and Color 
Flow Gain. Changing the gain while in M-Mode does not affect 
the B-Mode image gain. 
To decrease/increase, rotate Gain.",,,
GLOGIQ923,FOCUS_B-MODE,Adjust,Optimizing the image,LOGIQ9,How to Adjust Focus?,"To increase/decrease the number of focal zones, adjust Focus 
Number. 
NOTE: Focus Position and Focus Number share the same control. 
Press the control to toggle between Focus Position and Focus 
Number. 
To move the focal zone to the near/far field, adjust Focus 
Position. 
You can reverse how the Focus control functions on the Utility -> 
System -> General page.",,,
GLOGIQ924,B_FLOW_B-MODE,Adjust,Optimizing the image,LOGIQ9,How to Adjust B flow?,"To activate/deactivate B Flow, press B Flow. Doppler Mode is 
available while in B Flow; however, M-Mode and Color Flow/PDI 
Modes are not available.",,,
GLOGIQ925,SRI_B-MODE,Adjust,Optimizing the image,LOGIQ9,How to Ajust SRI?,"To activate SRI, adjust the SRI Touch Panel.",,,
GLOGIQ926,TIC_B-MODE,Adjust,Optimizing the image,LOGIQ9,How to Analyse TIC?,"1. Scan the patient after injecting the contrast agent.
2. Watch the agent flow through the anatomy of interest.
3. When the desired contrast effect has been visualized, 
freeze the image and select a range of images for analysis.
4. Position an ROI (region of interest) on one of those images 
where the contrast effect is visible.
5. The system then calculates the mean pixel intensity within 
that ROI for all frames in the user designated loop and plots 
the resulting data as a function of time.",,,
GLOGIQ927,ACTIVATING_TIC,"Activation,Adjust",optimizing the image,LOGIQ9,How to Activate TIC?,"1. Scan the patient in Contrast mode or select a desired cine 
loop from the stored images.
2. Press Freeze.
3. TIC Analysis displays on the Cine Touch Panel.
4. Select TIC Analysis. The TIC Analysis screen and Touch 
Panel displays. To toggle the trackball function between TIC 
and Scroll, press Scan Area.",https://drive.google.com/file/d/1fX4epc288CSrbIcGYe2wn1j7f1nY0Jwu/view?usp=sharing,,
GLOGIQ928,EXAMINATION_M-MODE,"Exam,",optimizing the image,LOGIQ9,How to Examine using M-mode?,"1. Get a good B-Mode image. Survey the anatomy and place 
the area of interest near the center of the B-Mode image. 
2. Press M/D Cursor. 
3. Trackball to position the mode cursor over the area that you 
want to display in M-Mode. 
4. Press M-Mode. 
5. Adjust the Sweep Speed, TGC, Gain, Power Output, and 
Focus Position, as needed. 
6. Press Freeze to stop the M trace. 
7. Record the trace to disk or to the hard copy device. 
8. Press Freeze to continue imaging. 
9. To exit, press M-Mode.",https://drive.google.com/file/d/1mLsTVZBGHU_V--hOkXdmr0A-h1Nc44Ky/view?usp=sharing,,
GLOGIQ929,EXAMINATION_DOPPLERMODE,Exam,optimizing the image,LOGIQ9,How to Examine Using Doppler mode?,"1. Connect the appropriate probe, leaving the probes in their 
respective holders. 
2. Position the patient for the examination. 
3. Press Patient. Enter the appropriate patient data using the 
appropriate exam category and worksheet. 
4. Select the preset, application and probe to be used.
5. Locate the anatomy to be examined. Get a good B Mode 
image. Refer to B-Mode section of this chapter for more 
information. 
6. Press M/D Cursor to display the sample volume cursor and 
gate. 
or
Press PW. The PW Doppler spectrum appears and the 
system operates in combined B+Doppler Mode. Adjust 
Volume to adjust Doppler audio. The Doppler signal is 
heard through the speakers. 
7. Position the sample volume cursor by moving the Trackball
left and right. Position the sample volume gate by moving 
the Trackball up and down. Size the gate by clicking SV 
Length. 
8. Optimize the PW Doppler spectrum, as necessary. Refer to 
the Doppler Optimization section of this chapter for more 
information. 
9. Press B Pause to toggle between real time B-Mode with 
sample volume and spectral display with audio.
10. Sample along the whole length of the vessel. Make sure that 
the probe is parallel to flow. Listen, then look, when 
positioning the sample volume cursor. 
11. Press Freeze to hold the trace in memory and stop imaging. 
Activate CINE Timeline, as necessary. See ‘Activating CINE’ 
for more information.
12. Perform measurements and calculations, as necessary. 
13. Record results by pressing the appropriate print key, 
depending on the setup of your recording devices. 
14. Press Freeze to resume imaging. 
15. Repeat the above procedure until all relevant flow sites have 
been examined. 
16. Replace the probe in its respective holder.",,,
GLOGIQ930,DOPPLERMODE_ACTIVATION,Activation,optimizing the image,LOGIQ9,How to Activate Doppler Mode?,"To activate PW Doppler Mode, press PW. 
The Doppler spectrum displays along with the B-Mode image. 
The cursor changes to a Doppler cursor. 
You can now position and size the sample volume gate to get a 
velocity. Use Doppler Audio to listen for when the sample 
volume gate is positioned over an area of flow.",https://drive.google.com/file/d/1OFlU1k-endQLjOf_HZrbpYIz1H29vggt/view?usp=sharing,,
GCT52040,FAST_CAL_PROCEDURE,"Procedure,Maintain",Checking,OPTIMA CT520,How to Maintain image quality?,"1. Display the Scan Monitor screen. 
– Clear the gantry opening.
– Raise the table above the patient loading level.
2. Select [Daily Prep] and [Fast Cal] to display the screen.
– Before the start of every scan day
– Before Cal check
– Before system calibration
3. The system automatically selects the Auto Scan function.
– The system automatically selects the following sequence of scans:
a) Mylar Window Check
b) Cold Warmup
c) Warmup 1
d) Warmup 2
e) Collimator Cal
f) FPA Check Scans
g) Clever Gain Calibration
h) Fast Calibration",,,
GCT52041,SYSTEM_PREPRATION,System,Checking,OPTIMA CT520,How to Prepare the System?,"• Clean the Accessories and check for damage.
• Check and remove dried contrast agent from:
– Mylar ring (around the gantry opening)
– Detector window 
– Table extension and cradle surfaces — especially the Patient Restraint plastic 
channels on the table
– Accessories (Head holders, pads and cushions, etc.)
• Check supplies.",,,
GCT52042,CHECK_IMAGE_SPACE,"System,Image",Checking,OPTIMA CT520,How to Check image space?,"• Check the daily schedule, and multiply the list of patients by the estimated number of 
images each study requires.
• Compare your estimate to the remaining 5122 images listed in the Feature Status Date 
and Time area.
• If your estimate exceeds the available Image Space:
– Film any previously unfilmed studies. (Optional)
– Transfer designated images to another suite or console. 
– Archive and remove the oldest images from the system disk",,,
GCT52043,SYSTEM_SHUTDOWN,"System,Shutdown",Power,OPTIMA CT520,How to Shutdown the system?,"• On Display Monitor, select the [Shutdown] icon. 
Dialog is posted
• Select Shutdown and click OK. Dialog will be posted
– The system is shutting down please wait...
• When the system is down a message is posted
– System Halted
• Press the POWER button on computer panel.
• To start the system from the System Halted prompt, power cycle the console.
• Dialog is posted on the display monitor
– The system is coming up please wait...
• A dialog box will be posted
– Attention
OC is initializing please wait...
• When this dialog disappears the system is ready to use.
• If your system has the HIPAA login enabled, you are required to login to the system.
• To turn off main disconnect control (MDC) or A1.
• Shutdown the system.",,,
GCT52044,LASER_LIGHT_ACCURACY,"Light,Laser,Accuracy",Test,OPTIMA CT520,what are Procedure test for internal or external laser light Accuracy?,"1. Remove cradle pad. 
2. Put the wire with the box on the cradle and use the level to position the box as horizontal 
as possible in both z and x directions. 
3. Align the wire with the internal laser light field and make it parallel to the scan plane, 
and use coronal Laser light to center the wire in the up/down direction. 
4. Landmark the wire using internal landmark. 
5. Scan the wire using the scan protocol as listed in Table 13-1. 
6. For the external laser light accuracy, move the cradle out and align the wire with the 
external laser light field, and use coronal laser light to center the wire in the up/down 
direction. 
7. Landmark the wire using external landmark. 
8. Scan the wire using the protocol as listed in the table",,,
GCT52045,TOMOGRAPHIC_ACCURACY,Accuracy,Test,OPTIMA CT520,What are Procedure test for preview Tomographic Accuracy,"1. Take a scout scan as listed in Table 13-2.
2. Scan the wire using the helical protocol as listed in Table 13-2.",,,
GCT52046,SAGITTAL_AND_CORONAL_LIGHT_ACCURACY,Accuracy,Test,OPTIMA CT520,What are procedure test for sagittal and coronal light accuracy?,"1. Remove the cradle pad. 
2. Put the wire with the box flat on the cradle and use the level to position the box as 
horizontal as possible in both z and x direction. 
3. Position the wire along the iso center using both sagittal (left/right) and coronal
(up/down) laser light, and for this test, the wire should be perpendicular to the scan 
plane. 
4. Landmark the wire using internal landmark. 
5. Scan the wire using the protocol as listed in Table 13-3.",,,
GCT52047,SET_DOSE_ADMINISTRATOR_ROLE,"Dose,Administrator,SEt",Check,OPTIMA CT520,How to set Dose Administrator role?,"1. Click Dose Check Management from Protocol Management. 
2. Click User Admin Tool . 
3. From the EA3 Administration screen, type your Username and Password. Consult your 
service engineer or Application Representative for user name and password. 
4. From the Local Users tab, click Add Local User. 
5. From the pop-up panel, type information for each of the following: 
– A unique user ID 
– Full Name 
– Password 
– Confirm Password 6. Click Add User. 
7. From the Groups tab, click Add Local Group. 
8. From the Add Local Group window, type and enter a unique group name.9. Click Add Group.
– The group is highlighted in the Local Groups list box. All information and buttons in 
the center panel refer to the highlighted group.
10. To change a group's roles, select the Dose Admin Role option box and click Apply Roles.
– A green label confirms the applied roles. 
– An error message box displays if it is unsuccessful.",,,
GCT52048,SET_AV_EXCEEDING_USER_ROLE,"User,Set",Check,OPTIMA CT520,How to set AV exceeding user role?,"1. Click Dose Check Management from Protocol Management. 
2. Click User Admin Tool . 
3. From the EA3 Administration screen, type your Username and Password. Consult your 
service engineer or Application Representative for user name and password. 
4. From the Local Users tab, click Add Local User. 
5. From the pop-up panel, type information for each of the following: 
– A unique user ID 
– Full Name 
– Password 
– Confirm Password 
6. Click Add User. 
7. From the Groups tab, click Add Local Group.
8. From the Add Local Group window, type and enter a unique group name.
9.Click Add Group",,,
GCT52049,PROTOCOL_CHANGE_CONTROL,"Change,Control",Interface,OPTIMA CT520,How to change Protocol using Protocol Change Control?,"1. Click Dose Check Management from Protocol Management. 
2. Click Logon Name. 
3. Type the user name. 
4. Click Password. 
5. Type the User password.",,,
GCT52050,PROTOCOLS_WITH_NOTIFICATION_VALUES,Notification,Interface,OPTIMA CT520,How to build protocols with Notification Values?,"1. From the scan monitor, click the Protocol Management icon . 
2. On the Auto Voice and Protocol Management screen, click Protocol Management. 
3. On the Protocol Selection screen, click User. 
4. On the User tab click an Anatomical area. 
5. In the Anatomical Area click on a protocol. 
6. Click Next Series to go to the first non-scout series in the protocol. 
7. From the Dose Information area click Set Up. 
8. Type the desired CTDIvol or DLP NV value by group. 
– Only one CTDIvol or DLP value can be set for SmartPrep scan groups. 
9. Click Info to return to the Dose Information display. 
10. Click Accept to save the protocol parameters. 
",,,
GCT52051,ENERGY_SAVING_MODE,Energy,Power,OPTIMA CT520,How to turn on energy saving mode?,"1. Disconnect any USB devices from the USB drive before performing Energy Saving mode.
2. From the display monitor, click Shutdown icon.
A pop-up attention box appears.
3. From the Attention Shutdown pop-up screen, click Energy Saving Mode
Getting Started
4. Click OK.
Energy Saving Mode pop up appears:
5. From the Energy Saving Mode pop up, click to change the start up date if needed.
6. Click to change the start up hour if needed. Use up/down arrows to set values.
7. Click to change the start up minutes if needed. Use up/down arrows to set values.
8. Click OK to turn on energy saving mode.
9. The power off prompt is displayed. Then depress the power switch on the front of the 
operator console to the off position.",,,
GCT52052,SET_UP_ENERGY_SAVING_SCHEDULE,Energy,Power,OPTIMA CT520,How to set up an energy saving schedule?,"1. From the display monitor, click Shutdown icon.
2. From the Attention Shutdown pop-up screen, click Energy Saving Mode.
3. Click OK.
4. Click Schedule to display the schedule set up screen.
Energy Saving Mode Schedule Setup pop up appears:
5. Set the working days:
6. Click Select All to select all days. or Click each individual day to be desired.
7. Click to change the start up hour.
8. Click to change the start up minutes.
9. Click Accept to set the schedule.",,,
GCT52053,ADD_A_LOCAL_USER,Add,Interface,OPTIMA CT520,How to Add a local User?,"1. Click [Add Local User].  When this button is clicked a popup panel is displayed.
2. Enter the new User ID (which must be unique).
3. Enter a Full Name.
4. Enter a Password.
5. Enter the Confirmed Password.  If any errors are encountered, you will receive an error messagebox. If you receive the 
error messagebox, changes were not committed to the database, and you can 
correct your errors and try again. Possible errors that can be encountered when 
adding a user are: 
– User ID already exists in the local user database (Choose a different unique 
username) 
– Password does not meet the minimum length requirements (Choose a longer 
password) 
– Password and Confirm Password box do not match (Make sure the passwords 
match) 
6. Click [Add User].",,,
GCT52054,CHANGE_A_USER_PASSWORD,Change,Interface,OPTIMA CT520,How to change a user password?,"1. Select User.
2. Click [Change Password]. 
 This brings up a popup panel with two textboxes for the password.
3. Make changes to the password.
4. Click [Confirm Change]. 
 If you do not want to make the change, simply click Cancel. 
 If the password doesn't meet the minimum length requirements, you will receive an 
error messagebox. If this occurs, your changes were not saved. Simply make the 
necessary corrections, and click Confirm Change again.",,,
GCT52055,REMOVE_LOCAL_USER,"Change,User",Interface,OPTIMA CT520,How to remove a local user?,"1. Select User.
2. Click [Remove User].
3. Click [Confirm Removal].  If you do not want to make the change, simply click the Cancel button.",,,
GCT52056,ADD_A_LOCAL_GROUP,"Add,Group",Interface,OPTIMA CT520,How to Add a local Group?,"1. Click [Add Local Group].  When this button is clicked a popup panel is displayed.
2. Enter the new group's name (which must be unique).
 If any errors are encountered, you will receive an error message box. If you receive 
the error message box, changes were not saved to the database, and you can 
correct your errors and try again. Possible errors that can be encountered when 
adding a group are: 
– Group name already exists in the database 
– Application session timeout 
 Once a local group is added, it is automatically highlighted in the Local Groups list 
box on the left-hand site, and it is highlighted. Once a group is highlighted, all 
information and buttons in the center panel (i.e. Group Name, Remove Group Button, 
Roles checkboxes, Apply Roles button, Group Members list box, Add Membership 
button, and Remove Membership button) refer to that group.
3. Click [Add Group].",,,
